isbn	title	publisher
1859844669	Deepening Democracy: Institutional Innovations in Empowered Participatory Governance (The Real Utopias Project) (v. 4): Archon Fung, Erik Olin Wright, Rebecca Neaera Abers, Gianpaolo Baiocchi, Joshua Cohen, Patrick Heller, T. M. Thomas Isaac, Bradley C. Karkkainen, Rebecca S. Krantz, Jane Mansbridge, Joel Rogers, Craig W. Thomas: 9781859844663: Amazon.com: Books	 Verso (March 2003)
0471789607	Being Right Is Not Enough: What Progressives Must Learn from Conservative Success: Paul Waldman: 9780471789604: Amazon.com: Books	 Wiley; 1 edition (April 28, 2006)
0374278369	Tocqueville: A Biography: Andre Jardin: 9780374278366: Amazon.com: Books	 Farrar, Straus and Giroux; 1st U.S. Ed edition (November 1, 1988)
140015457X	American Fascists: The Christian Right and the War on America: Chris Hedges, Eunice Wong: Amazon.com: Books	 Tantor Media; Unabridged,MP3 - Unabridged CD edition (June 15, 2007)
1441186506	Amazon.com: Making the Progressive Case: Towards a Stronger U.S. Economy (9781441186508): David Coates: Books	 Continuum; 1 edition (June 16, 2011)
0449013677	The Oath: The Obama White House and the Supreme Court: Jeffrey Toobin, Robertson Dean: 9780449013670: Amazon.com: Books	 Random House Audio; Unabridged edition (September 18, 2012)
158826470X	Republicans and the Black Vote: Michael K. Fauntroy: 9781588264701: Amazon.com: Books	 Lynne Rienner Pub (December 15, 2006)
1461054281	A Letter to US Middle-Class Christians: Daniel Burgin: 9781461054283: Amazon.com: Books	 CreateSpace Independent Publishing Platform (March 31, 2011)
0060842474	The Left Hand of God: Taking Back Our Country from the Religious Right: Michael Lerner: 9780060842475: Amazon.com: Books	 HarperOne (February 7, 2006)
1416596283	Amazon.com: 40 More Years: How the Democrats Will Rule the Next Generation (9781416596288): James Carville, Rebecca Buckwalter-Poza: Books	 Simon & Schuster (February 5, 2011)
0684831864	Up from Conservatism: Michael Lind: 9780684831862: Amazon.com: Books	 Free Press (July 15, 1997)
1591024633	The Angry Right: Why Conservatives Keep Getting It Wrong: S. T. Joshi, Robert Glisson: 9781591024637: Amazon.com: Books	 Prometheus Books (September 5, 2006)
1400065763	Vice: Dick Cheney and the Hijacking of the American Presidency: Lou Dubose, Jake Bernstein: 9781400065769: Amazon.com: Books	 Random House; First Edition edition (October 17, 2006)
0385516053	How the Republicans Stole Christmas: The Republican Party&#39;s Declared Monopoly on Religion and What Democrats Can Do to Take It Back: Bill Press: 9780385516051: Amazon.com: Books	 Doubleday Religion (October 11, 2005)
